Sno,Name,Youtuber,Country,Subscribers,Category_2,Avg_views,Avg_likes,Avg_Comments,Category_3
142,व्लाद और निकिता,व्लाद और निकिता,,26600000.0,,460000.0,3900.0,0.0,,
143,Bounce Patrol - Kids Songs,Bounce Patrol - Kids Songs,,26600000.0,Music & Dance,1000000.0,5900.0,0.0,,
144,Aditya Music,adityamusic,India,26500000.0,Music & Dance,16800.0,359.0,17.0,,
145,infobells - Telugu,infobellstelugu,,26400000.0,Education,305900.0,1400.0,0.0,,
146,enchufetv,enchufetv,Ecuador,26400000.0,,178200.0,14400.0,71.0,,
147,DanTDM,TheDiamondMinecart,United States,26300000.0,Video games,1600000.0,48400.0,5100.0,,
148,WORLDSTARHIPHOP,WorldStarHipHopTV,United States,26100000.0,Music & Dance,34600.0,1100.0,86.0,,
149,toycantando,toycantando,,25900000.0,Music & Dance,99700.0,481.0,0.0,Animation,
150,VanossGaming,VanossGaming,United States,25800000.0,Animation,1000000.0,45600.0,647.0,Video games,
151,1MILLION Dance Studio,1MILLION Dance Studio,India,25700000.0,,48600.0,2500.0,36.0,,
152,Renato Garcia,xSkyHeLLxx,Brazil,25700000.0,Movies,1100000.0,97900.0,1500.0,Animation,
153,LosPolinesios,LosPolinesios,Mexico,25700000.0,Music & Dance,1700000.0,62000.0,2200.0,Movies,
154,JYP Entertainment,jypentertainment,United States,25500000.0,Music & Dance,219800.0,24100.0,1300.0,,
155,BB Ki Vines,BB Ki Vines,India,25500000.0,Movies,6700000.0,870800.0,73300.0,Humor,
156,Lucas and Marcus,TwiNboTzVids,United States,25500000.0,Animation,1000000.0,25700.0,1200.0,Humor,
157,Nick Jr.,nickelodeonjuniorfr,,25400000.0,Animation,76300.0,241.0,0.0,Toys,
158,Smosh,smosh,United States,25100000.0,Movies,213100.0,12600.0,437.0,Humor,
159,Beyoncé,beyonce,United States,25100000.0,Music & Dance,5300000.0,221400.0,12500.0,,
160,Jess No Limit,Jess No Limit,Indonesia,24900000.0,Movies,319900.0,11700.0,897.0,Animation,
161,Goldmines Dishoom,Goldmines Dishoom,,24800000.0,,28300.0,327.0,0.0,,
162,WatchMojo.com,WatchMojo,United States,24700000.0,Movies,92300.0,2500.0,310.0,,
163,Nicki Minaj,NickiMinajTelevision,United States,24700000.0,Music & Dance,350500.0,32700.000000000004,2400.0,,
164,Sandeep Maheshwari,Sandeep Maheshwari,India,24700000.0,Daily vlogs,257100.00000000003,28000.0,172.0,,
165,Masha y el Oso,Masha y el Oso,,24500000.0,Animation,562900.0,3500.0,0.0,,
166,Netflix,NewOnNetflix,United States,24500000.0,Movies,198900.0,3400.0,321.0,Animation,
167,Raffy Tulfo in Action,Raffy Tulfo in Action,Philippines,24500000.0,News & Politics,680200.0,10500.0,1000.0,,
168,David Guetta,davidguettavevo,Brazil,24500000.0,Music & Dance,178200.0,6500.0,369.0,,
169,Post Malone,postmalone,United States,24500000.0,Music & Dance,138200.0,9800.0,573.0,,
170,ZHC,ZHC,United States,24500000.0,Design/art,0.0,0.0,0.0,DIY & Life Hacks,
171,1theK (원더케이),LOENENT,Indonesia,24300000.0,,12300.0,1100.0,49.0,,
172,Rans Entertainment,Rans Entertainment,Indonesia,24200000.0,Music & Dance,894400.0,29700.0,737.0,Humor,
173,Amit Bhadana,Amit Bhadana,India,24200000.0,Humor,0.0,0.0,0.0,,
174,Chloe Ting,Chloe Ting,United States,24100000.0,Fitness,183600.0,10700.0,374.0,Health & Self Help,
175,Aditya Movies,adityacinema,India,24100000.0,,22400.0,496.0,17.0,,
176,KSI,KSIOlajidebt,United Kingdom,24100000.0,Music & Dance,453800.0,51700.0,1800.0,,
177,James Charles,James Charles,United States,23900000.0,Beauty,1100000.0,65300.0,1400.0,Fashion,
